symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume
ITMG,2019-07-29 0:00:00,17075.0,17075.0,16875.0,17025.0,809000.0,17075.0,17075.0,16875.0,17025.0,809000.0
ITMG,2019-07-30 0:00:00,16750.0,17100.0,16750.0,17100.0,518800.0,16750.0,17100.0,16750.0,17100.0,518800.0
ITMG,2019-07-31 0:00:00,16825.0,16850.0,16775.0,16800.0,1769900.0,16825.0,16850.0,16775.0,16800.0,1769900.0
ITMG,2019-08-01 0:00:00,16850.0,16900.0,16825.0,16825.0,841100.0,16850.0,16900.0,16825.0,16825.0,841100.0
ITMG,2019-08-02 0:00:00,16850.0,16900.0,16700.0,16750.0,876200.0,16850.0,16900.0,16700.0,16750.0,876200.0
ITMG,2019-08-05 0:00:00,16850.0,16850.0,16625.0,16850.0,913800.0,16850.0,16850.0,16625.0,16850.0,913800.0
ITMG,2019-08-06 0:00:00,16050.0,16800.0,16050.0,16800.0,1116700.0,16050.0,16800.0,16050.0,16800.0,1116700.0
ITMG,2019-08-07 0:00:00,15700.0,16400.0,15700.0,16050.0,1435100.0,15700.0,16400.0,15700.0,16050.0,1435100.0
ITMG,2019-08-08 0:00:00,15325.0,15825.0,15300.0,15600.0,1535400.0,15325.0,15825.0,15300.0,15600.0,1535400.0
ITMG,2019-08-09 0:00:00,15050.0,15500.0,15000.0,15500.0,1611300.0,15050.0,15500.0,15000.0,15500.0,1611300.0
ITMG,2019-08-12 0:00:00,14650.0,15325.0,14650.0,15300.0,1174100.0,14650.0,15325.0,14650.0,15300.0,1174100.0
ITMG,2019-08-13 0:00:00,14000.0,14575.0,14000.0,14575.0,2049900.0,14000.0,14575.0,14000.0,14575.0,2049900.0
ITMG,2019-08-14 0:00:00,13975.0,14350.0,13875.0,14250.0,1488100.0,13975.0,14350.0,13875.0,14250.0,1488100.0
ITMG,2019-08-15 0:00:00,13400.0,13800.0,13275.0,13500.0,1859300.0,13400.0,13800.0,13275.0,13500.0,1859300.0
ITMG,2019-08-16 0:00:00,12900.0,13975.0,12625.0,13500.0,5722900.0,12900.0,13975.0,12625.0,13500.0,5722900.0
ITMG,2019-08-19 0:00:00,12950.0,13125.0,12825.0,13000.0,893700.0,12950.0,13125.0,12825.0,13000.0,893700.0
ITMG,2019-08-20 0:00:00,12925.0,13150.0,12875.0,13100.0,1033500.0,12925.0,13150.0,12875.0,13100.0,1033500.0
ITMG,2019-08-21 0:00:00,12400.0,13000.0,12325.0,13000.0,1917700.0,12400.0,13000.0,12325.0,13000.0,1917700.0
ITMG,2019-08-22 0:00:00,12025.0,12400.0,11975.0,12350.0,2145000.0,12025.0,12400.0,11975.0,12350.0,2145000.0
ITMG,2019-08-23 0:00:00,12075.0,12675.0,12000.0,12025.0,2971700.0,12075.0,12675.0,12000.0,12025.0,2971700.0
ITMG,2019-08-26 0:00:00,12000.0,12000.0,11700.0,11950.0,950400.0,12000.0,12000.0,11700.0,11950.0,950400.0
ITMG,2019-08-27 0:00:00,12200.0,12375.0,12075.0,12125.0,1078200.0,12200.0,12375.0,12075.0,12125.0,1078200.0
ITMG,2019-08-28 0:00:00,12225.0,12675.0,12225.0,12250.0,1405300.0,12225.0,12675.0,12225.0,12250.0,1405300.0
ITMG,2019-08-29 0:00:00,12650.0,12750.0,12275.0,12325.0,1484400.0,12650.0,12750.0,12275.0,12325.0,1484400.0
ITMG,2019-08-30 0:00:00,13000.0,13050.0,12775.0,12900.0,1731600.0,13000.0,13050.0,12775.0,12900.0,1731600.0
ITMG,2019-09-02 0:00:00,12450.0,13050.0,12450.0,13000.0,937800.0,12450.0,13050.0,12450.0,13000.0,937800.0
ITMG,2019-09-03 0:00:00,12575.0,12750.0,12500.0,12675.0,517000.0,12575.0,12750.0,12500.0,12675.0,517000.0
ITMG,2019-09-04 0:00:00,13150.0,13250.0,12925.0,12975.0,1296200.0,13150.0,13250.0,12925.0,12975.0,1296200.0
ITMG,2019-09-05 0:00:00,14025.0,14025.0,13025.0,13200.0,1848000.0,14025.0,14025.0,13025.0,13200.0,1848000.0
ITMG,2019-09-06 0:00:00,14425.0,14525.0,14150.0,14150.0,2357200.0,14425.0,14525.0,14150.0,14150.0,2357200.0
ITMG,2019-09-09 0:00:00,14900.0,15200.0,14200.0,14425.0,2188500.0,14900.0,15200.0,14200.0,14425.0,2188500.0
ITMG,2019-09-10 0:00:00,14700.0,14950.0,14525.0,14900.0,1128300.0,14700.0,14950.0,14525.0,14900.0,1128300.0
ITMG,2019-09-11 0:00:00,14625.0,15000.0,14575.0,14750.0,1120300.0,14625.0,15000.0,14575.0,14750.0,1120300.0
ITMG,2019-09-12 0:00:00,14075.0,14800.0,14075.0,14625.0,1373200.0,14075.0,14800.0,14075.0,14625.0,1373200.0
ITMG,2019-09-13 0:00:00,13350.0,14050.0,13275.0,14050.0,1942800.0,13350.0,14050.0,13275.0,14050.0,1942800.0
ITMG,2019-09-16 0:00:00,13300.0,13675.0,13200.0,13525.0,1381400.0,13300.0,13675.0,13200.0,13525.0,1381400.0
ITMG,2019-09-17 0:00:00,13300.0,13600.0,13200.0,13500.0,893900.0,13300.0,13600.0,13200.0,13500.0,893900.0
ITMG,2019-09-18 0:00:00,12925.0,13300.0,12925.0,13275.0,1599600.0,12925.0,13300.0,12925.0,13275.0,1599600.0
ITMG,2019-09-19 0:00:00,12750.0,13000.0,12700.0,12925.0,809000.0,12750.0,13000.0,12700.0,12925.0,809000.0
ITMG,2019-09-20 0:00:00,12425.0,12925.0,12425.0,12750.0,1564800.0,12425.0,12925.0,12425.0,12750.0,1564800.0
ITMG,2019-09-23 0:00:00,12450.0,12750.0,12425.0,12675.0,796100.0,12450.0,12750.0,12425.0,12675.0,796100.0
ITMG,2019-09-24 0:00:00,12900.0,13050.0,12100.0,12500.0,2249000.0,12900.0,13050.0,12100.0,12500.0,2249000.0
ITMG,2019-09-25 0:00:00,12775.0,13050.0,12600.0,13050.0,1190900.0,12775.0,13050.0,12600.0,13050.0,1190900.0
ITMG,2019-09-26 0:00:00,12800.0,12950.0,12650.0,12950.0,844000.0,12800.0,12950.0,12650.0,12950.0,844000.0
ITMG,2019-09-27 0:00:00,12675.0,13025.0,12675.0,12850.0,842700.0,12675.0,13025.0,12675.0,12850.0,842700.0
ITMG,2019-09-30 0:00:00,12400.0,12750.0,12350.0,12675.0,776500.0,12400.0,12750.0,12350.0,12675.0,776500.0
ITMG,2019-10-01 0:00:00,12475.0,12775.0,12425.0,12550.0,626800.0,12475.0,12775.0,12425.0,12550.0,626800.0
ITMG,2019-10-02 0:00:00,12150.0,12450.0,12150.0,12350.0,829500.0,12150.0,12450.0,12150.0,12350.0,829500.0
ITMG,2019-10-03 0:00:00,12125.0,12200.0,11950.0,12100.0,884300.0,12125.0,12200.0,11950.0,12100.0,884300.0
ITMG,2019-10-04 0:00:00,12025.0,12400.0,12000.0,12375.0,573000.0,12025.0,12400.0,12000.0,12375.0,573000.0
ITMG,2019-10-07 0:00:00,12100.0,12250.0,12025.0,12150.0,485600.0,12100.0,12250.0,12025.0,12150.0,485600.0
ITMG,2019-10-08 0:00:00,12400.0,12475.0,12200.0,12400.0,530200.0,12400.0,12475.0,12200.0,12400.0,530200.0
ITMG,2019-10-09 0:00:00,12650.0,12750.0,12375.0,12450.0,638700.0,12650.0,12750.0,12375.0,12450.0,638700.0
ITMG,2019-10-10 0:00:00,12875.0,12875.0,12500.0,12650.0,1007300.0,12875.0,12875.0,12500.0,12650.0,1007300.0
ITMG,2019-10-11 0:00:00,12925.0,12975.0,12800.0,12875.0,530000.0,12925.0,12975.0,12800.0,12875.0,530000.0
ITMG,2019-10-14 0:00:00,13150.0,13175.0,12925.0,13000.0,783700.0,13150.0,13175.0,12925.0,13000.0,783700.0
ITMG,2019-10-15 0:00:00,13000.0,13225.0,12950.0,13075.0,725100.0,13000.0,13225.0,12950.0,13075.0,725100.0
ITMG,2019-10-16 0:00:00,12675.0,13075.0,12650.0,13050.0,1409200.0,12675.0,13075.0,12650.0,13050.0,1409200.0
ITMG,2019-10-17 0:00:00,12450.0,12750.0,12400.0,12725.0,1064000.0,12450.0,12750.0,12400.0,12725.0,1064000.0
ITMG,2019-10-18 0:00:00,12250.0,12525.0,12250.0,12350.0,2065200.0,12250.0,12525.0,12250.0,12350.0,2065200.0
ITMG,2019-10-21 0:00:00,12750.0,12825.0,12350.0,12350.0,1256000.0,12750.0,12825.0,12350.0,12350.0,1256000.0
ITMG,2019-10-22 0:00:00,12700.0,12850.0,12475.0,12775.0,831600.0,12700.0,12850.0,12475.0,12775.0,831600.0
ITMG,2019-10-23 0:00:00,13450.0,13475.0,12575.0,12700.0,2574400.0,13450.0,13475.0,12575.0,12700.0,2574400.0
ITMG,2019-10-24 0:00:00,13500.0,13800.0,13450.0,13700.0,3205000.0,13500.0,13800.0,13450.0,13700.0,3205000.0
ITMG,2019-10-25 0:00:00,13475.0,13750.0,13450.0,13525.0,2126100.0,13475.0,13750.0,13450.0,13525.0,2126100.0
ITMG,2019-10-28 0:00:00,13475.0,13675.0,13450.0,13550.0,1511800.0,13475.0,13675.0,13450.0,13550.0,1511800.0
ITMG,2019-10-29 0:00:00,13325.0,13575.0,13300.0,13575.0,1313600.0,13325.0,13575.0,13300.0,13575.0,1313600.0
ITMG,2019-10-30 0:00:00,13450.0,13550.0,13350.0,13400.0,1285800.0,13450.0,13550.0,13350.0,13400.0,1285800.0
ITMG,2019-10-31 0:00:00,13300.0,13575.0,13075.0,13550.0,1974900.0,13300.0,13575.0,13075.0,13550.0,1974900.0
ITMG,2019-11-01 0:00:00,12650.0,12825.0,12325.0,12650.0,1479400.0,12650.0,12825.0,12325.0,12650.0,1479400.0
ITMG,2019-11-04 0:00:00,12500.0,12750.0,12500.0,12700.0,993500.0,12500.0,12750.0,12500.0,12700.0,993500.0
ITMG,2019-11-05 0:00:00,12750.0,13000.0,12475.0,12500.0,2010300.0,12750.0,13000.0,12475.0,12500.0,2010300.0
ITMG,2019-11-06 0:00:00,12700.0,13150.0,12675.0,13000.0,1423700.0,12700.0,13150.0,12675.0,13000.0,1423700.0
ITMG,2019-11-07 0:00:00,12400.0,12875.0,12300.0,12700.0,1694000.0,12400.0,12875.0,12300.0,12700.0,1694000.0
ITMG,2019-11-08 0:00:00,12900.0,12950.0,12525.0,12750.0,2578200.0,12900.0,12950.0,12525.0,12750.0,2578200.0
ITMG,2019-11-11 0:00:00,13100.0,13200.0,12675.0,12900.0,1632500.0,13100.0,13200.0,12675.0,12900.0,1632500.0
ITMG,2019-11-12 0:00:00,12875.0,13100.0,12800.0,13075.0,1234800.0,12875.0,13100.0,12800.0,13075.0,1234800.0
ITMG,2019-11-13 0:00:00,12500.0,12925.0,12450.0,12850.0,1861100.0,12500.0,12925.0,12450.0,12850.0,1861100.0
ITMG,2019-11-14 0:00:00,12350.0,12675.0,12250.0,12450.0,1623300.0,12350.0,12675.0,12250.0,12450.0,1623300.0
ITMG,2019-11-15 0:00:00,12375.0,12525.0,12300.0,12350.0,591500.0,12375.0,12525.0,12300.0,12350.0,591500.0
ITMG,2019-11-18 0:00:00,12200.0,12500.0,12175.0,12450.0,932700.0,12200.0,12500.0,12175.0,12450.0,932700.0
ITMG,2019-11-19 0:00:00,12050.0,12225.0,12050.0,12200.0,1277900.0,12050.0,12225.0,12050.0,12200.0,1277900.0
ITMG,2019-11-20 0:00:00,12000.0,12200.0,12000.0,12100.0,1242700.0,12000.0,12200.0,12000.0,12100.0,1242700.0
ITMG,2019-11-21 0:00:00,11850.0,12025.0,11825.0,12025.0,1443300.0,11850.0,12025.0,11825.0,12025.0,1443300.0
ITMG,2019-11-22 0:00:00,11525.0,12100.0,11400.0,11850.0,2391300.0,11525.0,12100.0,11400.0,11850.0,2391300.0
ITMG,2019-11-25 0:00:00,11525.0,11775.0,11500.0,11600.0,1519000.0,11525.0,11775.0,11500.0,11600.0,1519000.0
ITMG,2019-11-26 0:00:00,11300.0,11650.0,11300.0,11575.0,5271500.0,11300.0,11650.0,11300.0,11575.0,5271500.0
ITMG,2019-11-27 0:00:00,10950.0,11450.0,10950.0,11400.0,2114300.0,10950.0,11450.0,10950.0,11400.0,2114300.0
ITMG,2019-11-28 0:00:00,10575.0,10950.0,10550.0,10950.0,1362700.0,10575.0,10950.0,10550.0,10950.0,1362700.0
